1,Eels,6,5,0,1,0,133,64,69,10
2,Knights,6,4,1,1,0,149,88,61,9
3,Panthers,6,4,1,1,0,123,86,37,9
4,Roosters,6,4,0,2,0,175,57,118,8
5,Raiders,6,4,0,2,0,104,72,32,8
6,Storm,6,4,0,2,0,98,77,21,8
7,Sea Eagles,6,4,0,2,0,95,75,20,8
8,Rabbitohs,6,3,0,3,0,132,114,18,6
9,Wests Tigers,6,3,0,3,0,141,134,7,6
10,Cowboys,6,2,0,4,0,143,149,-6,4
11,Sharks,6,2,0,4,0,106,126,-20,4
12,Dragons,6,2,0,4,0,94,120,-26,4
13,Warriors,6,2,0,4,0,73,132,-59,4
14,Broncos,6,2,0,4,0,80,179,-99,4
15,Bulldogs,6,1,0,5,0,70,128,-58,2
16,Titans,6,1,0,5,0,66,181,-115,2
