1,Panthers,19,17,1,1,0,495,238,257,35
2,Storm,19,16,0,3,0,512,246,266,32
3,Roosters,19,14,0,5,0,544,262,282,28
4,Eels,19,14,0,5,0,364,264,100,28
5,Raiders,19,13,0,6,0,407,289,118,26
6,Knights,19,11,1,7,0,415,338,77,23
7,Rabbitohs,19,11,0,8,0,461,344,117,22
8,Sharks,19,10,0,9,0,452,442,10,20
9,Titans,19,8,0,11,0,310,457,-147,16
10,Wests Tigers,19,7,0,12,0,416,477,-61,14
11,Sea Eagles,19,7,0,12,0,347,469,-122,14
12,Warriors,19,7,0,12,0,303,430,-127,14
13,Dragons,19,6,0,13,0,348,430,-82,12
14,Cowboys,19,4,0,15,0,336,504,-168,8
15,Bulldogs,19,3,0,16,0,282,462,-180,6
16,Broncos,19,3,0,16,0,252,592,-340,6
